State,Urban Commercial Solar,Rural Commercial Solar,Rooftop Solar,Concentrated Solar Power
Alabama,35850,3706838,15475.0,0
Alaska,166,8282976,0.0,0
Arizona,121305,11867693,22736.0,12544333
Arkansas,28960,4986388,8484.0,0
California,246008,8855917,106411.0,8490916
Colorado,43470,10238083,16162.0,9154524
Connecticut,7716,19627,6616.0,0
Delaware,14856,272332,2185.0,0
District of Columbia,8,0,2490.0,0
Florida,72787,5137346,63986.0,358
Georgia,43166,5492183,31116.0,0
Hawaii,3725,38032,0.0,15369
Idaho,23194,3936847,4051.0,3502877
Illinois,103551,8090985,30086.0,0
Indiana,98815,4876185,17151.0,0
Iowa,27091,6994159,8646.0,0
Kansas,31705,14500149,8962.0,7974255
Kentucky,26514,1823976,12312.0,0
Louisiana,55669,4114605,14368.0,0
Maine,3216,1100327,2443.0,0
Maryland,28551,585949,14849.0,0
Massachusetts,17469,82204,11722.0,0
Michigan,50845,5215639,23527.0,0
Minnesota,33370,10792814,14321.0,0
Mississippi,26366,4981252,8614.0,0
Missouri,30549,5335268,16159.0,0
Montana,11370,8187341,2194.0,1540287
Nebraska,12954,9266756,5336.0,4846929
Nevada,24893,8614454,10767.0,8295752
New Hampshire,3790,57363,2298.0,0
New Jersey,44307,439773,15767.0,0
New Mexico,71356,16318543,6513.0,16812349
New York,52803,1492566,28779.0,0
North Carolina,68346,4232789,28419.0,0
North Dakota,4871,9734447,1916.0,36049
Ohio,86495,3626181,30064.0,0
Oklahoma,50040,9341920,12442.0,5068036
Oregon,25783,3740478,8322.0,2812126
Pennsylvania,56161,553356,22215.0,0
Rhode Island,1787,13636,1710.0,0
South Carolina,33834,2754973,14412.0,0
South Dakota,4573,10008873,2082.0,1629659
Tennessee,50243,2225989,19685.0,0
Texas,294684,38993581,78716.0,22786749
Utah,30492,5184878,7513.0,5067546
Vermont,1632,54727,1115.0,0
Virginia,27451,1882467,22266.0,0
Washington,33690,1738150,13599.0,161713
West Virginia,3023,52693,4220.0,0
Wisconsin,54938,5042258,13939.0,0
Wyoming,7232,5727224,1550.0,5406407
